"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 20 10:09:57 GMT 2025","Thu Feb 20 10:09:57 GMT 2025","360","","put_api_request_11.spec.js","","","","PUT API request in playwright using range of number",""
"failed","Thu Feb 20 10:09:56 GMT 2025","Thu Feb 20 10:09:57 GMT 2025","289","","group.spec.js","Smoke Testing","","","@API Create POST api request using dynamic JSON file in playwright",""
"failed","Thu Feb 20 10:10:00 GMT 2025","Thu Feb 20 10:10:00 GMT 2025","118","","group.spec.js","Smoke Testing","","","@API Create GET api request in playwright",""
"passed","Thu Feb 20 10:09:53 GMT 2025","Thu Feb 20 10:09:54 GMT 2025","191","","put_api_request_07.spec.js","","","","PUT API request in playwright",""
"failed","Thu Feb 20 10:09:57 GMT 2025","Thu Feb 20 10:09:57 GMT 2025","293","","post_api_request_04.spec.js","","","","Create POST api request using dynamic JSON file in playwright",""
"passed","Thu Feb 20 10:09:53 GMT 2025","Thu Feb 20 10:09:54 GMT 2025","134","","post_api_request_03.spec.js","","","","Create POST api request using dynamic Request body in playwright",""
"passed","Thu Feb 20 10:09:53 GMT 2025","Thu Feb 20 10:09:53 GMT 2025","53","","parallel1.spec.js","","","","@Web Second test Case",""
"failed","Thu Feb 20 10:10:00 GMT 2025","Thu Feb 20 10:10:00 GMT 2025","122","","query_parameter_06.spec.js","","","","Query Parameter in playwright",""
"passed","Thu Feb 20 10:09:53 GMT 2025","Thu Feb 20 10:09:53 GMT 2025","396","","delete_api_request_09.spec.js","","","","DELETE API request in playwright",""
"passed","Thu Feb 20 10:09:58 GMT 2025","Thu Feb 20 10:09:58 GMT 2025","195","","readdatabasedonenv.spec.js","","","","Read Test data based on different env in playwright for POST api request in playwright",""
"failed","Thu Feb 20 10:10:04 GMT 2025","Thu Feb 20 10:10:04 GMT 2025","103","","group.spec.js","Sanity Testing","","","@API PUT method to do changes",""
"passed","Thu Feb 20 10:09:58 GMT 2025","Thu Feb 20 10:09:58 GMT 2025","185","","readenvfile.spec.js","","","","Read ENV file for POST api request using static request body in playwright",""
"passed","Thu Feb 20 10:09:53 GMT 2025","Thu Feb 20 10:09:53 GMT 2025","73","","parallel1.spec.js","","","","@Web First test Case",""
"failed","Thu Feb 20 10:09:57 GMT 2025","Thu Feb 20 10:09:57 GMT 2025","319","","get_api_request_05.spec.js","","","","Create GET api request in playwright",""
"passed","Thu Feb 20 10:09:53 GMT 2025","Thu Feb 20 10:09:53 GMT 2025","79","","post_api_request_02.spec.js","","","","Create POST api request using JSON File in playwright",""
"passed","Thu Feb 20 10:09:53 GMT 2025","Thu Feb 20 10:09:53 GMT 2025","184","","post_api_request_01.spec.js","","","","Create POST api request using static request body in playwright",""
"passed","Thu Feb 20 10:10:03 GMT 2025","Thu Feb 20 10:10:03 GMT 2025","119","","group.spec.js","Sanity Testing","","","@API Authentication with POST method to generate token",""
"passed","Thu Feb 20 10:09:53 GMT 2025","Thu Feb 20 10:09:53 GMT 2025","19","","parallel1.spec.js","","","","@Web Third test Case",""
"failed","Thu Feb 20 10:09:57 GMT 2025","Thu Feb 20 10:09:57 GMT 2025","303","","put_api_request_10.spec.js","","","","PUT API request in playwright using luxon and faker",""
"passed","Thu Feb 20 10:09:53 GMT 2025","Thu Feb 20 10:09:53 GMT 2025","349","","patch_api_request_08.spec.js","","","","PATCH API request in playwright",""
"failed","Thu Feb 20 10:10:02 GMT 2025","Thu Feb 20 10:10:02 GMT 2025","118","","group.spec.js","Sanity Testing","","","@API Create POST api request using dynamic JSON file in playwright",""
